id,job_id,dates,hours,disqualified_application,qualified_application,conversion,company_id,group_id,campaign_id,publisher_id,bid_set,clicks,impressions,spend_hour,sources
2089,98,2022-07-08,9,1,0,1,1,,4,1,2,108,,216,Cassandra
2090,98,2022-07-13,15,1,0,1,1,,4,1,2,1,,2,Cassandra
2091,187,2022-07-08,4,1,0,1,33,,48,1,0,2,,0,Cassandra
2092,187,2022-07-08,6,1,0,1,33,,48,1,1.5,6,,9,Cassandra
2093,258,2022-07-08,9,1,0,1,33,,93,3,2,1,,2,Cassandra
2094,2,2022-07-14,9,3,0,3,1,10,1,1,,,,,Cassandra
2101,188,2022-07-24,10,1,0,1,33,,48,1,1,25,,25,Cassandra
2102,188,2022-07-24,14,1,0,1,33,,48,1,1,86,,86,Cassandra
2115,188,2022-07-25,9,,,,33,,48,1,1,52,,52,Cassandra
2116,273,2022-07-25,10,,,,33,,48,1,2,8,,0,Cassandra
2117,1527,2022-07-25,9,,,,1,10,1,1,1,3,,3,Cassandra
2118,1527,2022-07-25,10,,,,1,10,1,1,1,13,,13,Cassandra
2119,1529,2022-07-25,9,,,,1,10,1,1,1.5,3,,4.5,Cassandra
2120,1529,2022-07-25,10,,,,1,10,1,1,1.5,10,,15,Cassandra
2121,1530,2022-07-25,9,,,,1,10,1,1,2,11,,22,Cassandra
2122,1530,2022-07-25,10,,,,1,10,1,1,2,8,,16,Cassandra
2123,1531,2022-07-25,9,,,,40,30,53,1,2,23,,46,Cassandra
2124,1532,2022-07-25,9,,,,15,31,69,1,1,17,,17,Cassandra
2125,1533,2022-07-25,9,,,,15,31,69,1,1,19,,19,Cassandra
2126,1534,2022-07-25,9,,,,40,30,53,1,1,17,,17,Cassandra
