id,created_by,created_date,last_modified_by,last_modified_date,is_active,role_name,role_code,description,status
1,,2022-03-15 01:35:30,,2022-07-21 13:05:52,1,ADMIN,ADMIN,,1
2,,2022-03-15 01:35:30,,2022-03-15 01:35:30,1,ANALYST,ANALYST,,2
3,,2022-03-15 01:35:30,,2022-05-27 10:11:46,1,ACCOUNT MANAGER,ACCOUNT MANAGER,,2
4,,2022-03-15 01:35:30,,2022-05-27 10:11:47,1,SALES,SALES,,2
5,,2022-04-26 13:37:54.141881,,2022-05-27 03:58:06,1,MANAGER,MANAGER,,1
6,,2022-04-26 13:37:54.144824,,2022-06-06 09:18:27,1,SALES_USER 1,SALES_USER,,1
7,,2022-04-26 13:37:54.144824,,2022-05-20 06:23:03,0,PUBLISHER,PUBLISHER,,1
8,,2022-05-20 03:28:45.712282,,2022-05-20 06:22:54,0,Role 1028,1028,Desc,1
10,,2022-05-20 04:23:37.950405,,2022-05-23 08:07:01.893970,0,suphan 1,100033,,1
11,,2022-05-21 09:13:34.627468,,2022-05-22 17:29:54,0,Role 1,1,Description,1
12,,2022-05-21 09:34:56.392062,,2022-05-22 17:29:45,0,Role 2,2,desc 2,1
13,,2022-05-21 09:42:41.309558,,2022-05-21 14:25:02,0,Role 3,3,3,0
15,,2022-05-22 11:41:49.812295,,2022-05-23 08:05:56.252290,0,Role 7,33,desc 33,1
16,,2022-05-22 11:46:52.918268,,2022-05-23 08:05:20.441206,0,Role 5,44,44,1
17,,2022-05-22 14:37:20.510832,,2022-05-22 17:29:38,0,Role 4,4,desc,1
18,,2022-05-22 17:39:41.369069,,2022-05-23 03:39:01,0,ROLE_TEST_2,1221,Descs,0
19,,2022-05-23 01:17:25.242545,,2022-05-23 03:38:56,0,ROLE_TEST_3,333,Desc 3,1
20,,2022-05-23 02:51:54.395664,,2022-05-23 03:30:11,0,managedclient23,managedclient23,,1
21,,2022-05-23 03:20:37.716107,,2022-05-23 08:06:29.947300,0,role 100,10002,,1
22,,2022-05-23 03:22:59.254948,,2022-05-23 03:30:03,0,role 102,1000,,1
23,,2022-05-23 08:37:47.398761,,2022-05-27 03:58:06,1,Admin demo,1090,,1
24,,2022-05-23 09:58:40.538437,,2022-06-01 03:28:20,1,ROLE_1,111,Desc,1
25,,2022-05-23 14:27:16.389697,,2022-06-01 03:28:11,1,role 012,123,,1
26,,2022-05-24 17:20:11.676448,,2022-05-25 09:13:01,0,aa,11,Desc,1
27,,2022-05-25 09:26:39.264120,,2022-05-27 04:28:08,1,Role423,423,Desc,1
28,,2022-05-25 16:49:26.892911,,2022-05-27 04:57:36,1,Role test,123456,desv,1
29,,2022-05-27 03:03:08.573165,,2022-05-27 03:58:06,1,1111,2222,,1
30,,2022-05-27 04:13:35.679579,,2022-06-22 02:06:55,1,Role 1113,1113,,1
31,,2022-06-03 03:10:03.406283,,2022-06-22 02:07:13,1,Role1005,1005,,1
